isbn,title,rating_count,reviews,rating_value
964209083X,شب‌های روشن,33398,2434,4.03
964681901X,جاودانگی,26538,1424,4.13
8493388335,Désirée,7635,569,4.05
9649333339,مترجم دردها,143845,9384,4.14
9643281221,شراب خام,280,21,3.18
9645709148,خانواده نیک‌اختر,537,33,2.98
0449908208,"Against Our Will: Men, Women and Rape",3602,98,4.02
0552151696,Digital Fortress,504958,8449,3.63
0099267543,Timequake,30808,1418,3.72
Persian,تاريخ مشروطه ايران,397,36,4.17
9789643626136,یوسف‌آباد، خیابان سی‌وسوم,1275,87,3.05
Persian,گل به صنوبر چه کرد / قصه های ایرانی / جلد اول,52,5,4.00
9645563518,آی نسیم سحری یه دل پاره دارم چن می خری؟,22,0,3.91
0486431681,Hunger,34342,2432,4.08
9643201295,کرگدن,8690,324,3.87
9647514492,مشروطه‌ی ایرانی,264,22,3.96
9647948050,مارسل پروست,35,2,3.23
Farsi,نوروز فقط در کابل باصفاست,30,2,3.33
9645625785,گرینگوی پیر,2443,245,3.50
Persian,قصه‌‌ی دخترای ننه‌ دریا,1473,48,4.04
9646174353,مرگ آرتمیو کروز,7849,473,3.86
964362237L,حکایت عشقی بی‌قاف بی‌شین بی‌نقطه,2042,94,3.05
Persian,لذات فلسفه,1042,93,3.93
9789643511005,بهترین داستان های کوتاه,811,48,3.87
964598940X,امینه,1584,65,3.67
9789645998095,در ساحل رودخانه پیدرا نشستم و گریه کردم,78732,3400,3.57
Persian,سُلوک,1224,145,3.63
Persian,گاهی دلم برای خودم تنگ میشود,381,21,3.77
9789645571038,نیمه‌‌ی غایب,997,60,3.28
Persian,همسایه‌ها,2514,215,4.08
Persian,روی ماه خداوند را ببوس,6265,462,3.09
0091883768,Who Moved My Cheese?,305875,9822,3.78
9643030253,شازده کوچولو,1070279,31147,4.30
Persian,حسنی نگو یه دسته گل,2146,107,4.36
9647948905,سوءظن,2875,118,3.87
9643622517,مرگ در می‌زند,1590,94,3.60
9789644480263,جنگ و صلح جلد اول و دوم,231434,9551,4.10
9789643696146,ناپیدا,15870,1224,3.71
9646380174,ملکوت,1328,155,3.76
9786006063188,خسی در میقات,1323,83,3.31
